"id";"station_name";"longitude";"latitude";"address";"suburb";"postcode";"if_charger_working";"usb_a";"usb_c";"micro_usb";"plug_only";"establishment_type";"if_wifi";"if_bathroom";"access_type";"other_amenities";"star_rating";"mon_open";"mon_close";"tue_open";"tue_close";"wed_open";"wed_close";"thu_open";"thu_close";"fri_open";"fri_close";"sat_open";"sat_close";"sun_open";"sun_close";"if_24h";"created_at";"updated_at"
"60";"Carlton Library";"144.9715862";"-37.78951849";"667 Rathdowne Street  Carlton  3054";"Carlton";"3054";"1";"0";"1";"1";"1";"Library";"1";"1";"Main entrance is step free or with ramps";NULL;"0";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"0";NULL;NULL
"61";"Carnegie Library";"145.0582785";"-37.88744034";"7 Shepparson Avenue  Carnegie  3163";"Carnegie";"3163";"1";"0";"0";"1";"0";"Library";"1";"1";"Main entrance is step free or with ramps";NULL;"0";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"0";NULL;NULL
"62";"Carrum Downs Library";"145.179497";"-38.10867319";"203 Lyrebird Drive  Carrum Downs  3201";"Carrum Downs";"3201";"1";"0";"0";"0";"1";"Library";"1";"1";"Main entrance is step free or with ramps";NULL;"0";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"0";NULL;NULL
"63";"Caulfield Library";"145.02291";"-37.8800209";"Cnr Glen Eira & Hawthorn Roads  Caulfield  3162";"Caulfield";"3162";"1";"0";"0";"0";"1";"Library";"1";"1";"Main entrance is step free or with ramps";NULL;"0";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"0";NULL;NULL
"64";"Chelsea Library";"145.1161004";"-38.05060886";"1 Chelsea Road  Chelsea  3196";"Chelsea";"3196";"1";"1";"1";"0";"1";"Library";"1";"1";"Main entrance is step free or with ramps";NULL;"0";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"0";NULL;NULL
"65";"Cheltenham Library";"145.0565558";"-37.96766324";"12 Stanley Avenue  Cheltenham  3192";"Cheltenham";"3192";"1";"0";"0";"1";"1";"Library";"1";"1";"Main entrance is step free or with ramps";NULL;"0";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"0";NULL;NULL
"66";"Cinemedia Library";"144.962147";"-37.83478331";"222 Park Street  Cinemedia  3205";"Cinemedia";"3205";"1";"0";"1";"0";"1";"Library";"1";"1";"Main entrance is step free or with ramps";NULL;"0";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"0";NULL;NULL
"67";"City Library";"144.9658414";"-37.81694088";"253 Flinders Lane  Melbourne  City Library  3000";"City";"3000";"1";"0";"1";"0";"1";"Library";"1";"1";"Main entrance is step free or with ramps";NULL;"4";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"0";NULL;"2020-05-25 13:02:35"
"68";"Clarinda Library";"145.1021123";"-37.94047325";"58 Viney Street  Clarinda  3169";"Clarinda";"3169";"1";"0";"0";"0";"1";"Library";"1";"1";"Main entrance is step free or with ramps";NULL;"0";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"0";NULL;NULL
"69";"Clayton Library";"145.11851";"-37.92678";"Cooke Street  Clayton  3168";"Clayton";"3168";"1";"0";"1";"0";"1";"Library";"1";"1";"Main entrance is step free or with ramps";NULL;"0";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"0";NULL;NULL
"70";"Coburg Library";"144.96533";"-37.74325";"Cnr Victoria & Louisa Streets  Coburg  3058";"Coburg";"3058";"1";"1";"1";"0";"0";"Library";"1";"1";"Main entrance is step free or with ramps";NULL;"0";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"0";NULL;NULL
"71";"Collingwood Library";"144.9930806";"-37.80443139";"11 Stanton Street  Abbotsford  Collingwood  3067";"Collingwood";"3067";"1";"1";"1";"1";"1";"Library";"1";"1";"Main entrance is step free or with ramps";NULL;"0";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"0";NULL;NULL
"72";"Craigieburn Library";"144.9339585";"-37.59831531";"59 Craigieburn Road  Craigieburn  3064";"Craigieburn";"3064";"1";"1";"0";"0";"0";"Library";"1";"1";"Main entrance is step free or with ramps";NULL;"0";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"0";NULL;NULL
"73";"Cranbourne Library";"145.2965794";"-38.11468016";"65 Berwick-Cranbourne Road  Cranbourne  3977";"Cranbourne";"3977";"1";"1";"0";"1";"1";"Library";"1";"1";"Main entrance is step free or with ramps";NULL;"0";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"0";NULL;NULL
"74";"Croydon Library";"145.2817";"-37.80057";"Civic Square  Croydon  3136";"Croydon";"3136";"1";"0";"0";"0";"0";"Library";"1";"1";"Main entrance is step free or with ramps";NULL;"0";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"0";NULL;NULL
"75";"Dandenong Library";"145.217634";"-37.984241";"Stuart Street  Dandenong  3175";"Dandenong";"3175";"1";"1";"0";"0";"0";"Library";"1";"1";"Main entrance is step free or with ramps";NULL;"0";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"0";NULL;NULL
"76";"Deer Park Library";"144.77732";"-37.75221";"Cnr Neale & Station Roads  Deer Park  3023";"Deer Park";"3023";"1";"0";"0";"0";"0";"Library";"1";"1";"Main entrance is step free or with ramps";NULL;"0";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"0";NULL;NULL
"77";"Diamond Valley Library";"145.1094963";"-37.68833679";"Civic Drive  Diamond Valley  3088";"Diamond Valley";"3088";"1";"1";"1";"0";"0";"Library";"1";"1";"Main entrance is step free or with ramps";NULL;"0";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"0";NULL;NULL
"78";"Dingley Library";"145.1344779";"-37.9819023";"31C Marcus Road  Dingley  3172";"Dingley";"3172";"1";"1";"1";"1";"0";"Library";"1";"1";"Main entrance is step free or with ramps";NULL;"0";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"0";NULL;NULL
"79";"Doveton Library";"145.238459";"-37.994749";"Autumn Place  Doveton  3177";"Doveton";"3177";"1";"0";"1";"0";"0";"Library";"1";"1";"Main entrance is step free or with ramps";NULL;"0";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"0";NULL;NULL
"80";"East Keilor Library";"144.860684";"-37.749505";"Cnr Buckley Street & Milleara Road  East Keilor  3033";"East Keilor";"3033";"1";"0";"1";"0";"1";"Library";"1";"1";"Main entrance is step free or with ramps";NULL;"0";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"0";NULL;NULL
"81";"East Melbourne Library";"144.9865314";"-37.81537953";"122 George St  East Melbourne  3002";"East Melbourne";"3002";"1";"1";"1";"1";"0";"Library";"1";"1";"Main entrance is step free or with ramps";NULL;"0";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"0";NULL;NULL
"82";"Elsternwick Library";"145.0044487";"-37.88414449";"4 Staniland Grove  Elsternwick  3185";"Elsternwick";"3185";"1";"1";"0";"0";"0";"Library";"1";"1";"Main entrance is step free or with ramps";NULL;"0";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"0";NULL;NULL
"83";"Eltham Library";"145.14616";"-37.716198";"Panther Place  Eltham  3095";"Eltham";"3095";"1";"1";"1";"0";"1";"Library";"1";"1";"Main entrance is step free or with ramps";NULL;"0";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"0";NULL;NULL
"84";"Emerald Library";"145.4450282";"-37.92952552";"400B Belgrave-Gembrook Road  Emerald  3782";"Emerald";"3782";"1";"0";"1";"1";"1";"Library";"1";"1";"Main entrance is step free or with ramps";NULL;"0";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"0";NULL;NULL
"85";"Emerald Hill Library";"144.9603427";"-37.83469798";"195 Bank Street  Emerald Hill  3205";"Emerald Hill";"3205";"1";"0";"1";"1";"1";"Library";"1";"1";"Main entrance is step free or with ramps";NULL;"0";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"0";NULL;NULL
"86";"Endeavour Hills Library";"145.259917";"-37.978239";"Raymond McMahon Blvd  Endeavour Hills  3802";"Endeavour Hills";"3802";"1";"0";"1";"0";"0";"Library";"1";"1";"Main entrance is step free or with ramps";NULL;"0";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"0";NULL;NULL
"87";"Fairfield Library";"145.0193193";"-37.77758758";"121 Station Street  Fairfield  3078";"Fairfield";"3078";"1";"0";"1";"1";"1";"Library";"1";"1";"Main entrance is step free or with ramps";NULL;"0";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"0";NULL;NULL
"88";"Fawkner Library";"144.970017";"-37.702514";"Jukes Road  Fawkner  3060";"Fawkner";"3060";"1";"1";"1";"0";"1";"Library";"1";"1";"Main entrance is step free or with ramps";NULL;"0";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"0";NULL;NULL
"89";"Ferntree Gully Library";"145.2912164";"-37.89044262";"1010 Burwood Highway  Ferntree Gully  3156";"Ferntree Gully";"3156";"1";"1";"1";"1";"0";"Library";"1";"1";"Main entrance is step free or with ramps";NULL;"0";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"0";NULL;NULL
"90";"Fitzroy Library";"144.9790185";"-37.80171709";"128 Moor Street  Fitzroy  3065";"Fitzroy";"3065";"1";"0";"0";"0";"1";"Library";"1";"1";"Main entrance is step free or with ramps";NULL;"0";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"0";NULL;NULL
"91";"Flemington Library";"144.930478";"-37.78846916";"313 Racecourse Road  Flemington  3031";"Flemington";"3031";"1";"0";"0";"1";"0";"Library";"1";"1";"Main entrance is step free or with ramps";NULL;"0";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"0";NULL;NULL
"92";"Footscray Library";"144.8956908";"-37.80026175";"56 Paisley Street  Footscray  3011";"Footscray";"3011";"1";"0";"0";"1";"1";"Library";"1";"1";"Main entrance is step free or with ramps";NULL;"0";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"0";NULL;NULL
"93";"Footscray West Library";"144.8781393";"-37.79763975";"539 Barkly Street  Footscray West  3012";"Footscray West";"3012";"1";"0";"1";"0";"1";"Library";"1";"1";"Main entrance is step free or with ramps";NULL;"0";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"0";NULL;NULL
"94";"Frankston Library";"145.1236738";"-38.14573441";"60 Playne Street  Frankston  3199";"Frankston";"3199";"1";"0";"0";"1";"1";"Library";"1";"1";"Main entrance is step free or with ramps";NULL;"0";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"0";NULL;NULL
"95";"Gladstone Park Library";"144.890633";"-37.689205";"Taylor Drive  Gladstone Park  3043";"Gladstone Park";"3043";"1";"1";"0";"0";"0";"Library";"1";"1";"Main entrance is step free or with ramps";NULL;"0";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"0";NULL;NULL
"96";"Glenroy Library";"144.9160004";"-37.70675552";"737 Pascoe Vale Road  Glenroy  3046";"Glenroy";"3046";"1";"1";"1";"0";"0";"Library";"1";"1";"Main entrance is step free or with ramps";NULL;"0";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"0";NULL;NULL
"97";"Glen Waverley Library";"145.163557";"-37.882133";"112 Kingsway  Glen Waverley  3150";"Glen Waverley";"3150";"1";"1";"0";"1";"0";"Library";"1";"1";"Main entrance is step free or with ramps";NULL;"0";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"0";NULL;NULL
"98";"Hampton Library";"145.0028226";"-37.93881793";"1D Service Street  Hampton  3188";"Hampton";"3188";"1";"1";"1";"1";"1";"Library";"1";"1";"Main entrance is step free or with ramps";NULL;"0";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"0";NULL;NULL
"99";"Hampton Park Library";"145.2640263";"-38.03400092";"22-26 Stuart Avenue  Hampton Park  3976";"Hampton Park";"3976";"1";"1";"1";"0";"1";"Library";"1";"1";"Main entrance is step free or with ramps";NULL;"0";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"0";NULL;NULL
"100";"Hastings Library";"145.1943518";"-38.30785043";"7 High Street  Hastings  3915";"Hastings";"3915";"1";"0";"1";"0";"1";"Library";"1";"1";"Main entrance is step free or with ramps";NULL;"0";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"0";NULL;NULL
"101";"Hawthorn Library";"145.0351298";"-37.82482659";"584 Glenferrie Road  Hawthorn  3122";"Hawthorn";"3122";"1";"1";"0";"1";"1";"Library";"1";"1";"Main entrance is step free or with ramps";NULL;"0";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"0";NULL;NULL
"102";"Healesville Library";"145.5174683";"-37.65357046";"231 Maroondah Highway  Healesville  3777";"Healesville";"3777";"1";"1";"1";"0";"1";"Library";"1";"1";"Main entrance is step free or with ramps";NULL;"0";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"0";NULL;NULL
"103";"Highett Library";"145.0433521";"-37.94907561";"310 Highett Road  Highett  3190";"Highett";"3190";"1";"0";"0";"1";"0";"Library";"1";"1";"Main entrance is step free or with ramps";NULL;"0";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"0";NULL;NULL
"104";"Highpoint Shopping Centre Library";"144.8912563";"-37.77462663";"200 Rosamond Road  Highpoint Shopping Centre  3032";"Maribyrnong";"3032";"1";"0";"1";"1";"0";"Library";"1";"1";"Main entrance is step free or with ramps";NULL;"0";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"0";NULL;NULL
"105";"Ivanhoe Library";"145.0455321";"-37.76522858";"255 Upper Heidelberg Road  Ivanhoe  3079";"Ivanhoe";"3079";"1";"0";"0";"1";"1";"Library";"1";"1";"Main entrance is step free or with ramps";NULL;"0";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"0";NULL;NULL
"106";"Keilor Library";"144.833112";"-37.719489";"Kennedy Street  Keilor  3036";"Keilor";"3036";"1";"0";"1";"1";"1";"Library";"1";"1";"Main entrance is step free or with ramps";NULL;"0";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"0";NULL;NULL
"107";"Kew Library";"145.034488";"-37.807651";"Cotham Road and Civic Drive  Kew  3101";"Kew";"3101";"1";"0";"0";"0";"0";"Library";"1";"1";"Main entrance is step free or with ramps";NULL;"0";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"0";NULL;NULL
"108";"Kinglake Library";"145.34096";"-37.53027";"1 Glenburn Road  Kinglake  3763";"Kinglake";"3763";"1";"0";"0";"0";"0";"Library";"1";"1";"Main entrance is step free or with ramps";NULL;"0";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"0";NULL;NULL
"109";"Knox Library";"145.2383111";"-37.86965555";"425 Burwood Hwy  Knox  3152";"Knox";"3152";"1";"0";"0";"0";"0";"Library";"1";"1";"Main entrance is step free or with ramps";NULL;"0";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"0";NULL;NULL
"110";"Lalor Library";"145.0177646";"-37.67289571";"2A May Road  Lalor  3075";"Lalor";"3075";"1";"0";"0";"0";"0";"Library";"1";"1";"Main entrance is step free or with ramps";NULL;"0";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"0";NULL;NULL
"111";"Langwarrin Shop Library";"145.19696";"-38.14998";"Cranbourne Road and Southgateway  Langwarrin Shop  3910";"Langwarrin Shop";"3910";"1";"0";"0";"0";"0";"Library";"1";"1";"Main entrance is step free or with ramps";NULL;"0";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"0";NULL;NULL
"112";"Lilydale Library";"145.353404";"-37.760056";"Anderson Street  Lilydale  3140";"Lilydale";"3140";"1";"1";"1";"1";"0";"Library";"1";"1";"Main entrance is step free or with ramps";NULL;"0";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"0";NULL;NULL
"113";"Malvern Library";"145.0317489";"-37.85677379";"1255 High Street  Malvern  3144";"Malvern";"3144";"1";"1";"1";"1";"1";"Library";"1";"1";"Main entrance is step free or with ramps";NULL;"0";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"0";NULL;NULL
"114";"Manningham e-Library Centre @ Warrandyte Library";"145.206902";"-37.74659";"402 Warrandyte Rd  Manningham e-Library Centre @ Warrandyte  3113";"Warrandyte";"3113";"1";"1";"1";"1";"1";"Library";"1";"1";"Main entrance is step free or with ramps";NULL;"0";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"0";NULL;NULL
"115";"Melton Library";"144.5823561";"-37.68479291";"31 McKenzie Street  Melton  3337";"Melton";"3337";"1";"1";"1";"1";"1";"Library";"1";"1";"Main entrance is step free or with ramps";NULL;"0";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"0";NULL;NULL
"116";"Middle Park Library";"144.96215";"-37.849926";"Cnr Nimmo and Richardson Streets  Middle Park  3206";"Middle Park";"3206";"1";"0";"1";"0";"1";"Library";"1";"1";"Main entrance is step free or with ramps";NULL;"0";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"0";NULL;NULL
"117";"Mill Park Library";"145.0745429";"-37.65983185";"394 Plenty Road  Mill Park  3082";"Mill Park";"3082";"1";"0";"1";"0";"0";"Library";"1";"1";"Main entrance is step free or with ramps";NULL;"0";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"0";NULL;NULL
"118";"Montrose Library";"145.344717";"-37.81069";"Cnr Mt Dandenong Tourist & Swansea Roads  Montrose  3765";"Montrose";"3765";"1";"0";"0";"0";"1";"Library";"1";"1";"Main entrance is step free or with ramps";NULL;"0";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"09:00:00";"17:00:00";"0";NULL;NULL
